Eind,Bloemendaalse polder,De Dintel,De Halse Vliet,Den Biggelaar,Endekweek,Geluk,Goudbloem,Haagse Beemden,Heerjansland/Zellebergen,Hoge Vucht,Hogediep,Laakdijk/Schuivenoord,Leurschans,Oude Prinslandse Polder,Rooskensdonk/Kraaiennest,Tonnekreek,Triangelpolder/Kruisland,Visvliet,Vuchtpolder,Westpolder,Willemspolder,Zonzeel,Zwartenbergse polder
2016-02-05,0.7501,0.5586,0.6854,0.9161,0.4970000000000001,0.4811,0.5203,0.5498,0.4932,0.4576,0.2442,0.7841,0.2053,0.4509,0.9740000000000001,0.7451,0.2063,0.4853,0.6386,0.5431,0.3984,0.8125,0.7659
2016-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-07,2.096,1.3026,3.3029,3.1287,2.6084,1.1420000000000001,2.5061,3.137,1.8188,3.3541,1.1556,3.4601,0.8661,1.193,3.7173,1.2952,1.4728,1.0942,3.3353,2.8553,1.1624,3.2269,3.1302
2016-02-08,12.1772,10.4035,14.7042,13.9358,12.1169,9.3248,11.3326,15.6637,10.9506,15.0867,8.6799,16.0266,9.3958,10.1606,15.5046,11.2651,9.8915,9.5537,15.8506,13.615,10.0856,14.6407,14.0796
2016-02-09,16.7007,17.0014,15.4356,17.1256,15.2305,16.6584,15.2156,14.9346,16.0378,14.1081,14.8522,16.5643,15.5648,16.2446,15.1392,17.3338,14.7532,16.4969,14.5,15.6258,16.6721,17.3507,16.1528
2016-02-10,5.8092,6.0486,6.8873,7.0176,6.2264,6.016,5.8327,7.4843,6.8405,7.3681,6.4025,7.9039,6.75,6.3381,7.2894,5.938,7.4877,7.0047,7.5287,7.1269,5.8109,7.2755,6.8773
2016-02-11,0.0,0.0,0.0,0.0,0.0,0.0589,0.0,0.0,0.0,0.0,0.0948,0.0,0.0164,0.0009,0.0,0.0,0.0,0.1591,0.0,0.0,0.0,0.0,0.0
2016-02-12,0.3376,0.0204,0.2808,0.2275,0.0624,0.0794,0.1085,0.0082,0.1055,0.0551,0.0445,0.1381,0.0805,0.0132,0.249,0.0537,0.0009,0.0933,0.0,0.2551,0.0,0.4485,0.3703
2016-02-13,0.1712,0.0528,0.1234,0.1774,0.1433,0.5512,0.1849,0.1386,0.1316,0.1547,0.0481,0.1752,0.0013,0.3694,0.1659,0.0735,0.1027,0.6875,0.1721,0.14300000000000002,0.0,0.0575,0.1938
2016-02-14,1.528,3.4124,3.6162,3.8992,0.7195,2.1848,0.3287,6.1919,2.1287,7.4623,1.8039,5.4164,1.5382,2.8011,4.7806,3.3313,2.125,1.5832,6.1336,2.0091,3.1307,5.5555,3.2442
2016-02-15,0.3227,0.1747,0.1602,0.0523,0.0047,0.0461,0.1622,0.1272,0.6333,1.0025,0.0,0.1063,0.0521,0.2185,0.0208,0.2838,0.3617,0.0106,0.626,0.017,0.1504,0.0337,0.0426
2016-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,2.8736,3.6708,2.7374,2.6004,2.7917,3.4688,3.1417,1.8595,3.8487,1.6644,2.7265,1.8263,3.2149,3.6988,2.0978,3.7837,3.6868,3.4089,1.6631,3.1527,3.5376,2.1114,2.8444
2016-02-19,0.5162,0.1442,0.9285,0.6954,0.4478,0.2733,0.4889,1.7786,0.1437,1.5531,0.0782,1.7244,0.1772,0.1386,1.1598,0.2251,0.0426,0.2228,1.9594,0.6667,0.0956,1.0824,0.8467
2016-02-20,10.661,9.3219,12.7659,11.8197,10.6175,8.2661,10.2801,12.8814,9.9306,12.6008,7.3755,12.0654,8.1994,8.4342,12.7379,10.4105,8.8658,7.8797,12.4844,11.9786,8.4346,11.9514,12.2428
2016-02-21,0.7157,0.6443,0.7394,0.687,0.4994,0.2907,0.5311,0.8313,0.5184,0.9123,0.29600000000000004,0.7242,0.4251,0.5895,0.8871,0.8629,0.2244,0.4644,0.7624,0.5791,0.4004,0.4938,0.8678
